Clearness,GHI Actual,GHI Theoretical
0.49,443.22,466.6167725
0.46,442.88,437.8963122
0.42,439.88,399.6088853
0.47,443.17,446.9852722
0.45,443.37,427.9006526
0.35,442.99,332.8171169
0.38,444.22,361.2541482
0.38,442.05,361.1260334
0.3,446.93,285.0486058
0.39,441.42,370.4283301
0.3,439.4,284.8134523
0.45,437.58,427.0605692
0.34,440.6,322.4831082
0.38,441.73,360.2393213
0.4,437.1,378.9379916
0.49,436.3,463.8723548
0.48,437.31,454.0782186
0.39,440.59,368.6677164
0.27,443.62,254.9929978
0.33,440.09,311.3855196
0.4,440.23,377.0706041
0.35,438.09,329.6104983
0.34,438.89,319.8682011
0.31,438,291.2885415
0.38,436.45,356.654697
0.38,439.9,356.2315333
0.45,434.88,421.2684577
0.5,431.35,467.4620494
0.55,429.13,513.4706231
0.41,433.85,382.17116
0.29,431.05,269.9387659
0.38,433.45,353.1378548
0.53,423.71,491.6738208
0.48,428.73,444.5854666
0.48,433.09,443.7831965
0.55,426.99,507.7008408
0.5,427.15,460.8592774
0.52,424.27,478.5148454
0.55,425.7,505.2860143
0.58,427.85,531.8938792
0.56,429.34,512.6777385
0.48,431.92,438.6269415
0.6,421.56,547.2567944
0.38,429.16,345.9363856
0.34,430.78,308.9240706
0.3,431.16,272.0459638
0.26,428.91,235.2753039
0.35,431.38,316.0379301
0.47,424.24,423.5239094
0.45,430.29,404.6070654
0.54,429.74,484.3803269
0.59,423.49,528.0287448
0.51,430.13,455.3797237
0.46,427.98,409.7210702
0.52,421.4,462.0041742
0.52,422.69,460.8310322
0.46,428.8,406.6083533
0.54,422.91,476.0769394
0.47,434.17,413.2658939
0.5,434.66,438.4032358
0.4,435.07,349.7678727
0.41,429.15,357.4716074
0.57,409.67,495.5102995
0.58,404.25,502.699976
0.61,397.1,527.1026085
0.68,393.18,585.8032861
0.68,398.88,583.8703527
0.65,403.52,556.3708882
0.69,388.72,588.7376951
0.7,379.3,595.2696839
0.66,394.36,559.3967239
0.48,422.38,405.437359
0.55,411.83,463.0219037
0.23,426.57,192.946166
0.55,409.88,459.7905405
0.59,392.9,491.4520847
0.57,381.13,473.132393
0.55,387.29,454.8455911
0.58,386.48,477.9083764
0.6,385.74,492.518354
0.57,393.21,466.1014119
0.3,412.19,244.3660684
0.51,399.95,413.8359178
0.59,380,476.8521244
0.46,390.96,370.2858842
0.35,401.98,280.5944668
0.34,405.02,271.4374516
0.41,407.17,326.0192109
0.69,366.84,546.3570492
0.7,339.91,551.9143981
0.67,342.9,525.9471904
0.58,371.98,453.3119253
0.48,396.84,373.4945151
0.5,388.45,387.3195381
0.59,373.1,454.9404444
0.59,375.2,452.8607494
0.45,379.57,344.4911663
0.46,383.6,351.2576562
0.5,366.01,380.7055496
0.55,341.13,417.65014
0.65,342.32,492.2169106
0.66,345.95,498.4284768
0.6,356.23,451.8749963
0.52,358.81,390.5987936
0.47,350.3,351.9884192
0.54,323.41,403.2825222
0.55,319.48,409.5678439
0.53,324.76,393.5578387
0.52,329.13,385.1147299
0.52,333.56,383.9853352
0.51,336.27,375.4345675
0.5,334.45,367.0048349
0.47,343.73,343.9534147
0.55,330.96,401.4033659
0.45,345.34,327.4497325
0.51,346.23,369.9800729
0.4,343.84,289.2468985
0.33,351.2,237.9090657
0.57,331.74,409.6589003
0.65,320.83,465.8334594
0.62,320.11,442.9680932
0.61,321.09,434.4463063
0.61,319.38,432.994364
0.57,324.95,403.33335
0.57,333.2,402.0342081
0.45,333.88,316.4620775
0.66,326.98,498.85371
0.66,311.2,498.7502152
0.62,314.13,468.5229295
0.66,308.59,498.6467039
0.68,306.77,513.7572101
0.68,309.16,513.650545
0.66,314.91,498.543176
0.65,317.11,490.8875159
0.6,328.35,453.1645729
0.54,321.98,407.7633768
0.67,299.86,520.1472148
0.66,300.2,512.3838235
0.65,309.23,504.6204323
0.57,332.2,442.5133022
0.66,325.58,512.3838235
0.64,328.6,496.759149
0.59,335.57,457.9498405
0.58,341.43,450.0992493
0.56,324.99,434.5785855
0.57,317.42,442.3389174
0.61,310.35,473.2869103
0.52,323.19,403.457694
0.55,320.62,426.7696044
0.51,330.64,395.6537615
0.48,351.32,372.3800108
0.48,361.87,372.3800108
0.45,369.59,349.0373779
0.45,365.9,349.0373779
0.49,358.66,379.9879049
0.49,350.91,379.9879049
0.49,366.72,355.9000397
0.29,399.78,211.7098295
0.13,398.48,95.38394341
0.59,340.53,435.0608564
0.61,309.38,452.0737812
0.61,319.32,454.2900086
0.59,328.56,441.5277585
0.12,374.53,90.23355083
0.52,372.57,392.8719771
0.55,349.55,417.494501
0.62,325.8,472.7682435
0.63,312.35,482.6117363
0.62,309.52,477.1215043
0.61,319.12,471.4577631
0.65,314.48,504.6248688
0.66,313.69,514.5627107
0.59,338.84,461.9589417
0.5,365.81,393.1201719
0.32,387.53,252.681639
0.6,368.61,475.711569
0.56,372.69,445.7911746
0.64,354.54,511.6087183
0.43,380.86,345.0654467
0.62,362.58,499.4895285
0.7,318.16,566.2335245
0.67,322.07,543.9550995
0.66,337.32,537.8796271
0.64,337.12,523.5498811
0.65,344.2,533.6716654
0.66,342.53,543.7956501
0.65,351.03,537.5220268
0.62,368.5,514.5768651
0.62,353.66,517.0971632
0.66,347.7,553.2070626
0.62,370.42,522.1081411
0.39,399.95,329.9596202
0.6,382.59,510.058164
0.7,339.99,597.7790359
0.68,350.01,583.3073951
0.61,371.59,525.6125636
0.6,375.77,519.1719937
0.43,403.83,373.6726628
0.59,371.23,514.879676
0.67,336.89,587.0844169
0.66,350.71,580.6170308
0.69,341.9,609.4690374
0.57,383.08,505.4847272
0.48,398.55,427.2865934
0.59,398.03,527.1970042
0.53,396.22,475.3222078
0.62,367.02,558.0540874
0.62,369.1,560.047889
0.59,378.52,534.8242143
0.59,399.56,536.631775
0.62,396.03,565.842553
0.68,364.07,622.6867871
0.68,356.01,624.6629224
0.66,362.6,608.2135864
0.64,376.78,591.5316785
0.62,379.38,574.8565105
0.59,385.31,548.4837826
0.59,406.71,549.9040827
0.58,408.75,541.8970332
0.57,415.99,533.9448746
0.47,427.37,441.3007319
0.3,430.45,282.3314215
0.53,417.3,499.9045154
0.43,413.62,406.4845838
0.59,396.7,559.0048822
0.54,410.29,512.6657576
0.54,420.52,513.7360667
0.55,413.75,524.3198517
0.39,414.88,372.4984199
0.52,415.7,497.5963727
0.52,418.78,498.5003663
0.58,413.57,557.0692598
0.5,426.38,481.0222002
0.58,428.48,558.9492168
0.55,423.09,530.8784727
0.63,414.17,609.0395308
0.51,411.57,493.7797151
0.56,394.43,542.9434447
0.62,392.1,601.9334891
0.51,422.43,495.8014051
0.48,436.33,467.2365715
0.54,428.38,526.2661834
0.52,435.45,507.3577299
0.55,429.31,537.2743764
0.57,433.02,557.3730998
0.52,436.17,509.0208474
0.45,429.8,440.9190491
0.48,423.6,470.5151695
0.55,422.41,539.3568402
0.44,432.46,431.661641
0.49,431.41,480.9055301
0.51,433.12,500.7279896
0.59,419.54,579.4479041
0.57,416.41,559.9691402
0.51,416.47,501.1663296
0.53,430.42,520.9628725
0.45,432.84,442.411334
0.51,428.3,501.4906473
0.56,416.55,550.7529463
0.59,427.62,580.3548503
0.48,437.6,472.1936066
0.34,436.45,334.4973618
0.48,433.49,472.2663923
0.48,445.05,472.2637019
0.47,449.65,462.4201805
0.44,453.85,432.8971283
0.37,448.1,364.0188095
0.41,453.91,403.3330306
0.52,451.5,511.4921758
0.39,450.77,383.5776635
0.29,442.47,285.1729862
0.58,431.08,570.2407941
0.64,434.47,629.1118008
0.62,434.02,609.2934855
0.45,455.91,442.1125735
0.55,449.26,540.2148403
0.38,459.8,373.1135389
0.56,453.16,549.5324705
0.43,454.91,421.7516853
0.23,433.44,225.4594797
0.47,432.3,460.4912198
0.44,434.66,430.8475332
0.48,435.73,469.7488337
0.42,430.74,410.7910204
0.47,430.45,459.4736075
0.51,432.04,498.2492116
0.5,436.4,488.2064071
0.54,434.56,526.9505228
0.55,435.8,536.4444518
0.55,439.99,536.1008893
0.51,441.21,496.8284198
0.35,449.28,340.7384171
0.55,438.8,535.1405326
0.41,447.48,398.6625741
0.42,450.95,408.1803746
0.29,450.63,281.6576724
0.34,446.18,330.0335185
0.32,441.57,310.3925678
0.2,444.48,193.8860318
0.17,443.72,164.6936317
0.33,450.62,319.5224089
0.4,445.19,387.019392
0.41,448.49,396.4670221
0.5,440,483.1456752
0.45,438.77,434.5809939
0.38,440.95,366.7168337
0.48,439.3,462.9544426
0.44,440.91,424.0661698
0.11,445.04,105.9868249
0.28,446.22,269.7144955
0.41,443.12,394.8278408
0.41,442.52,394.6889006
0.39,439.65,375.3633807
0.51,441.78,490.6862374
0.44,445.83,423.2167535
0.43,449.81,413.488529
0.16,451.12,153.801386
0.23,449,221.026148
0.21,452.85,201.7524385
0.19,449.16,182.4724077
0.31,448.9,297.6110057
0.4,448.57,383.9102632
0.28,450.09,268.6592084
0.34,450.29,326.1107781
0.3,452.98,287.6661534
0.3,454.21,287.5405682
0.27,457.16,258.691911
0.48,447.16,459.7696172
0.49,446.27,469.1756833
0.52,445.59,497.7172901
0.21,452.3,200.9450791
0.42,446.52,401.7118544
0.34,446.32,325.074508
0.45,440.14,430.1241931
0.44,442.8,420.3777421
0.42,442.42,401.1193691
0.27,444.09,257.7696718
0.07,446.14,66.8040023
0.2,439.39,190.9165813
0.43,437.73,410.5361257
0.44,443.31,420.1886799
0.38,446.66,362.94775
0.48,443.98,458.5401619
0.4,446.19,382.1476311
0.4,446.44,382.2135775
0.3,444.19,286.6615787
0.34,437.41,324.9139676
0.42,436.18,401.365383
0.47,438.63,449.1543294
0.24,440.67,229.3379156
0.18,437.05,172.0057163
0.39,436.3,372.6495028
0.52,438.7,496.8326589
0.52,439.12,496.7524413
0.53,440.57,506.269307
0.59,440.66,563.4463178
0.44,444.88,420.1325357
0.4,445.27,381.8742283
0.3,444.12,286.3375064
0.16,440.66,152.6747565
0.24,436.74,228.9561934
0.34,439.12,324.2189617
0.34,438.57,324.1374993
0.34,442.03,324.0251898
0.42,440.31,400.1307064
0.4,444.97,380.911651
0.42,440.23,399.818372
0.26,440.91,247.376929
0.38,434.52,361.3923477
0.52,434.88,494.4629763
0.24,434.09,228.2174516
0.48,430.24,456.3210293
0.49,430.31,465.6625167
0.42,437.3,399.0680482
0.36,436.22,341.9338432
0.32,437.2,303.8010158
0.55,429.14,521.9629179
0.48,427.85,455.2702705
0.47,430.02,445.5591605
0.45,435.04,426.3052406
0.47,433.16,444.9387893
0.4,436.77,378.3985155
0.34,433.85,321.4026246
0.54,433.21,509.9859955
0.45,426.38,424.6166176
0.59,427.09,556.1791411
0.48,435.92,452.0372548
0.35,435.01,329.2760893
0.27,432.66,253.7029232
0.29,433.36,272.1838477
0.38,431.62,356.2315333
0.55,426.3,514.8836705
0.59,422.26,551.6052183
0.46,433.79,429.4481575
0.55,426.58,512.6686293
0.61,423.23,567.8022316
0.55,428.73,511.1205794
0.58,423.38,538.0581436
0.49,429.23,453.8476638
0.46,431.9,425.29223
0.35,433.47,323.0823532
0.38,430.52,350.2530509
0.3,433.02,276.0662569
0.44,430.81,404.2288115
0.47,427.7,431.0174538
0.3,434.27,274.6487885
0.35,429.57,319.8321449
0.52,430.35,474.2892218
0.47,436.23,427.8686875
0.53,427.31,481.55811
0.52,431.69,471.5463372
0.58,419.77,524.8449087
0.59,416.88,532.7496537
0.6,418.48,540.6688205
0.59,418.67,530.484819
0.57,418.95,511.290345
0.4,422.45,357.9855897
0.62,412.73,553.5988798
0.59,415.28,525.5118074
0.59,411.52,524.1970438
0.55,414.41,487.4174379
0.39,420.91,344.7331691
0.53,411.33,467.2606997
0.45,419.2,395.6801112
0.57,410.16,499.7796888
0.44,420.2,384.7446599
0.19,428.73,165.6575741
0.38,425.97,330.3401997
0.57,398.62,494.0327351
0.62,381.66,535.7436349
0.61,379.88,525.5000066
0.62,392.74,532.3523804
0.59,399.2,505.0135755
0.54,403.2,460.7512396
0.6,381.42,510.2311576
0.65,362.31,550.921016
0.65,359.6,549.029757
0.66,358.09,555.6262845
0.66,354.16,553.6716069
0.65,362.3,543.3888206
0.5,385.61,416.4848176
0.47,395.96,390.12671
0.62,381.61,512.73503
0.66,371.61,543.8267731
0.57,383.47,467.8924363
0.59,389.82,482.4558474
0.54,378.26,439.8589231
0.68,368.72,551.7812237
0.63,375.51,509.1810819
0.55,391.95,442.7331224
0.29,404.53,232.4925582
0.08,407.66,63.86763566
0.29,406.76,230.5989541
0.62,354.2,490.9295225
0.65,335.59,512.4919411
0.63,334.51,494.5473581
0.63,345.15,492.3905395
0.65,350.79,505.7738225
0.6,351.19,464.7834457
0.59,346.23,454.9404444
0.59,344.83,452.8607494
0.65,349.48,497.5983513
0.66,354.06,503.9783762
0.65,360.59,494.9172145
0.64,354.95,485.9928902
0.64,356.34,484.6443428
0.63,351.84,475.772637
0.62,354.84,466.9374962
0.67,350.42,503.2715226
0.64,345.2,479.3033794
0.62,335.37,463.0280811
0.6,327.8,446.8012843
0.6,326.68,445.5371758
0.61,332.76,451.7692024
0.6,328.55,443.0600022
0.6,328.66,441.6877265
0.58,327.59,425.7256085
0.61,330.41,446.4076233
0.62,315.92,452.491067
0.61,317.59,443.8763041
0.62,323.3,449.7796964
0.66,331.75,477.2573826
0.66,332.63,475.8181315
0.62,333.95,445.5938916
0.64,330.59,458.6667908
0.61,337.82,435.8234465
0.61,335.42,434.4463063
0.47,350.75,333.6186083
0.53,344.88,375.0292553
0.49,358.74,345.6083543
0.41,360.6,288.3321151
0.41,354.53,309.8939714
0.28,356.95,211.5910004
0.34,361.05,256.9319291
0.32,367.2,241.7680989
0.47,349.34,355.0968952
0.51,335.84,385.2379087
0.49,331.85,370.1305398
0.45,325.05,339.8452033
0.48,320.96,362.5316583
0.45,329.16,339.802814
0.42,343.04,326.0624332
0.66,312.2,512.3838235
0.69,314.3,535.6739973
0.63,320.61,489.0936498
0.57,312.91,442.5133022
0.41,332.09,318.2363299
0.38,330.38,294.9507447
0.38,332.19,294.8926116
0.34,330.05,263.8512841
0.49,321.36,380.2562623
0.52,321.81,403.457694
0.45,326.3,349.1460814
0.47,313.57,364.6940256
0.59,305.87,457.7170967
0.4,322.36,310.3166757
0.68,309.44,527.5383487
0.63,318.2,488.652329
0.66,304.47,511.9214876
0.66,305.24,511.8204433
0.63,298.98,488.5558777
0.55,308.93,399.4796364
0.56,304.68,408.818981
0.53,309.42,388.873
0.54,321.68,398.1912923
0.52,323.12,385.3743708
0.49,332.62,364.9214823
0.49,339.46,366.6925452
0.5,344.54,375.9731284
0.41,370.18,309.7644435
0.36,383.62,273.2691279
0.41,378.48,312.6370642
0.39,385.51,298.7596463
0.58,371.15,446.3394718
0.64,357.27,494.6442105
0.62,364.16,481.3344903
0.26,374.76,202.7065224
0.58,361.27,454.1291291
0.48,369.34,377.395365
0.5,369.3,394.8150609
0.49,377.03,388.4977813
0.61,365.7,485.593958
0.47,374.41,375.7126525
0.45,382.55,361.1150024
0.4,381.56,322.2513087
0.56,351.72,452.9868196
0.58,348.43,470.886504
0.6,357,488.9814792
0.59,367.46,482.6475466
0.59,371.41,484.4096655
0.3,398.1,247.1798409
0.56,381.66,463.0959
0.6,359.98,497.9776114
0.7,332.16,583.8193778
0.67,337.25,561.5889878
0.66,345.54,555.7925373
0.65,351.38,549.9327004
0.64,365.14,544.0620417
0.62,371.99,529.4614318
0.61,372.23,523.2610456
0.55,382.86,473.9129672
0.6,396.05,519.1719937
0.63,379.86,547.4739013
0.64,379.09,558.5135468
0.66,324.04,578.3219629
0.7,320.2,615.8059418
0.7,329.4,618.301922
0.7,325.8,620.7707176
0.68,340.06,605.322674
0.66,360.88,589.7458013
0.39,399.27,349.7653982
0.22,407.75,198.0191923
0.6,386.72,541.9818281
0.45,407.78,407.9167736
0.4,408.52,363.8181526
0.37,409.81,337.6802333
0.23,404.98,210.6146486
0.57,385.51,523.6145085
0.62,384.72,571.3521569
0.66,379.04,610.0170435
0.66,371.79,611.9440273
0.62,369.2,576.3727885
0.64,383.05,596.5061236
0.57,400.73,532.5539809
0.62,398.56,580.7821443
0.6,395.84,563.3626365
0.45,417.45,423.4971323
0.6,398.17,565.9296401
0.59,403.55,557.7346616
0.45,425.63,426.3596559
0.45,424.61,427.2214647
0.68,388.42,646.9268988
0.65,393.66,619.6507338
0.63,408.68,601.7282167
0.38,432.16,363.6281185
0.49,425.3,469.7407298
0.61,412.2,585.883187
0.59,412.91,567.6061963
0.63,397.48,607.1344941
0.59,402.77,569.4878162
0.61,408.27,589.7049425
0.62,419.48,600.2812222
0.59,417.84,572.0297007
0.61,421.67,592.2248845
0.55,438.03,534.6877898
0.55,422.79,535.3752381
0.61,425.37,594.4858738
0.49,439.15,478.0870916
0.58,425.71,566.5802514
0.58,428.13,567.1515752
0.47,432.21,460.0765351
0.42,432.18,411.5244459
0.57,431.36,558.7367637
0.48,437.68,470.7114242
0.53,432.83,519.9560675
0.58,426.16,569.2351172
0.6,425.79,589.0917524
0.57,437.39,559.8056023
0.59,425.22,579.6171802
0.43,428.51,422.5520034
0.57,414.59,560.2808252
0.65,409.48,639.0385935
0.45,436.36,442.4917476
0.48,439.79,472.073954
0.54,440.4,531.1722358
0.5,425.72,491.8683402
0.45,438.12,442.7170966
0.49,436.92,482.1052755
0.41,434.44,403.3919121
0.43,434.89,423.0652715
0.6,419.99,590.3142659
0.54,424.47,531.270695
0.57,421.16,560.7312864
0.5,427.67,491.8193998
0.52,432.88,511.4368847
0.51,431.2,501.5111137
0.63,424.01,619.3994833
0.59,430.68,579.9624414
0.58,434.7,569.9842284
0.62,427.82,609.132879
0.56,437.22,550.0369283
0.42,445.52,412.3886483
0.41,442.59,402.336273
0.5,436.63,490.4089364
0.42,439.05,411.7086151
0.52,439.34,509.4796475
