Clearness,GHI,Vw,Iw,Ve,Ie,Clearness_F,GHI_F
0.68,344.81,15.56,0.08,10.91,0.02,0.60,336.89
0.61,368.09,16.61,0.05,11.84,0.03,0.58,340.66
0.67,355.12,16.08,0.08,11.27,0.03,0.63,331.84
0.67,355.64,15.82,0.09,11.19,0.03,0.71,326.23
0.54,378.13,17.15,0.09,12.12,0.03,0.70,323.13
0.58,378.3,17.07,0.09,11.91,0.03,0.75,314.63
0.6,369.75,16.72,0.07,11.83,0.02,0.76,318.38
0.51,398.19,17.90,0.06,12.70,0.04,0.73,330.64
0.38,421.02,19.07,0.10,13.23,0.02,0.69,325.92
0.61,393.38,17.85,0.06,12.21,0.02,0.63,319.07
0.66,381.49,17.36,0.07,11.97,0.03,0.62,326.42
0.67,366,16.33,0.08,11.45,0.03,0.61,337.87
0.66,362.31,16.20,0.09,11.34,0.03,0.65,339.68
0.61,376.47,17.01,0.07,12.11,0.03,0.72,332.59
0.54,400.1,17.75,0.09,12.61,0.04,0.80,331.75
0.49,417.09,18.62,0.06,13.25,0.03,0.79,334.64
0.48,427.22,19.28,0.07,13.29,0.04,0.72,333.84
0.51,412.7,18.75,0.09,13.15,0.04,0.69,330.31
0.48,416.11,18.60,0.07,12.90,0.04,0.70,341.81
0.52,408.87,18.22,0.08,12.84,0.03,0.74,350.29
0.54,407.93,18.57,0.06,12.92,0.03,0.77,343.60
0.53,410.77,18.66,0.08,13.13,0.03,0.75,340.14
0.52,416.45,18.80,0.09,13.14,0.03,0.81,351.34
0.41,420.54,18.87,0.06,13.27,0.03,0.82,351.77
0.54,402.55,18.25,0.09,12.86,0.03,0.81,344.21
0.32,410.07,18.51,0.08,13.10,0.03,0.80,332.08
0.56,410.26,18.33,0.06,13.13,0.03,0.80,332.85
0.6,395.8,17.89,0.08,12.37,0.03,0.77,336.49
0.55,403.44,18.34,0.07,12.66,0.03,0.73,345.49
0.49,411.39,18.35,0.06,12.75,0.04,0.72,357.25
0.42,416.3,18.87,0.06,13.28,0.03,0.72,363.75
0.56,409.13,18.16,0.07,12.77,0.02,0.73,349.08
0.48,419.19,18.67,0.08,13.03,0.03,0.75,359.60
0.57,414.15,18.45,0.07,13.00,0.04,0.75,351.15
0.49,420.77,19.16,0.09,13.13,0.02,0.67,343.45
0.57,418.73,19.03,0.07,13.19,0.04,0.73,339.54
0.6,411.1,18.61,0.06,12.85,0.03,0.77,332.44
0.61,425.17,18.99,0.06,13.51,0.03,0.78,342.72
0.66,393.47,17.48,0.07,12.38,0.03,0.77,354.43
0.6,414.73,18.89,0.05,13.06,0.04,0.76,355.33
0.5,432.77,19.65,0.09,13.66,0.03,0.77,359.21
0.58,418.54,18.79,0.08,13.28,0.04,0.74,359.52
0.6,428.02,19.48,0.07,13.40,0.04,0.72,364.58
0.6,430.05,19.46,0.09,13.52,0.03,0.76,358.33
0.53,438.32,19.82,0.06,13.62,0.03,0.77,362.97
0.41,438.73,19.71,0.07,13.81,0.03,0.71,360.11
0.57,426.73,19.30,0.08,13.51,0.03,0.72,364.25
0.63,414.52,18.64,0.08,12.96,0.04,0.72,373.18
0.52,430.38,19.28,0.06,13.57,0.04,0.68,365.58
0.44,424.18,19.21,0.09,13.50,0.02,0.74,369.16
0.58,406.61,18.41,0.08,12.98,0.04,0.73,376.96
0.45,414.05,18.70,0.06,13.02,0.03,0.77,387.87
0.46,427.52,19.46,0.06,13.26,0.04,0.65,383.52
0.36,419.38,18.68,0.05,13.19,0.04,0.73,382.25
0.5,411.27,18.73,0.09,13.04,0.03,0.77,383.35
0.38,417.53,18.71,0.07,13.36,0.04,0.73,386.10
0.51,416.15,18.79,0.07,13.20,0.03,0.77,387.29
0.5,423.86,19.20,0.06,13.55,0.04,0.74,387.86
0.51,439.17,19.65,0.09,13.66,0.04,0.66,389.82
0.55,434.83,19.68,0.09,13.77,0.03,0.70,390.71
0.47,435.63,19.75,0.07,13.70,0.04,0.69,395.34
0.53,433.33,19.44,0.07,13.75,0.04,0.68,396.96
0.44,437.18,19.79,0.07,13.84,0.03,0.67,400.89
0.27,435.12,19.82,0.10,13.85,0.03,0.69,397.27
0.46,434.96,19.60,0.07,13.67,0.03,0.72,400.29
0.55,416.88,18.73,0.07,13.21,0.04,0.71,403.35
0.38,428.04,19.48,0.07,13.51,0.03,0.72,407.67
0.48,414.48,18.60,0.05,12.90,0.03,0.71,408.69
0.52,420.45,18.77,0.09,13.21,0.04,0.68,401.85
0.34,434.4,19.54,0.07,13.57,0.03,0.68,398.05
0.5,426.01,19.18,0.09,13.20,0.04,0.72,396.71
0.38,438.61,19.87,0.09,13.82,0.03,0.74,394.40
0.52,431.59,19.66,0.07,13.53,0.05,0.73,391.00
0.43,438.1,19.43,0.08,13.85,0.03,0.75,397.51
0.47,437.23,19.59,0.08,13.66,0.03,0.75,399.94
0.34,446.78,20.32,0.08,14.09,0.03,0.71,410.31
0.37,438.18,19.68,0.08,13.82,0.03,0.62,417.49
0.37,441.31,20.01,0.07,13.66,0.03,0.67,414.79
0.37,445.8,20.09,0.07,13.83,0.03,0.72,417.21
0.55,431.8,19.25,0.08,13.37,0.03,0.75,415.08
0.61,423.26,18.93,0.08,13.47,0.03,0.69,417.52
0.52,433.27,19.52,0.08,13.76,0.03,0.72,414.95
0.49,430.14,19.14,0.07,13.34,0.03,0.68,410.34
0.47,437.38,19.52,0.10,13.88,0.02,0.73,403.90
0.39,434.99,19.74,0.08,13.87,0.05,0.73,405.02
0.23,438.66,19.56,0.06,13.84,0.04,0.73,404.62
0.53,431.99,19.18,0.07,13.37,0.03,0.64,405.95
0.43,436.98,19.56,0.09,13.76,0.03,0.63,406.96
0.43,440.45,19.81,0.07,14.05,0.03,0.68,405.87
0.32,440.96,19.93,0.08,13.97,0.03,0.79,409.06
0.58,441.42,19.65,0.07,13.96,0.03,0.72,410.56
0.61,440.13,19.70,0.10,13.69,0.03,0.75,413.28
0.52,441.01,19.79,0.10,13.65,0.04,0.71,411.75
0.49,443.14,19.82,0.09,14.04,0.04,0.69,411.59
0.44,446.85,20.29,0.08,14.00,0.05,0.65,411.63
0.34,450.41,20.13,0.09,14.21,0.05,0.65,412.37
0.31,450.05,20.38,0.10,14.15,0.04,0.65,409.26
0.49,447.77,20.15,0.07,13.86,0.03,0.66,413.44
0.48,448.12,20.33,0.06,14.00,0.04,0.62,416.04
0.56,457.43,20.80,0.08,14.43,0.04,0.77,415.43
0.48,452.09,20.42,0.08,14.32,0.03,0.73,414.90
0.48,454.05,20.67,0.07,14.29,0.04,0.71,418.28
0.55,449.16,20.37,0.08,14.29,0.03,0.68,420.51
0.45,451.3,20.10,0.08,14.31,0.03,0.68,422.87
0.37,451.69,20.24,0.07,14.01,0.05,0.66,425.31
0.45,445.29,19.96,0.09,14.04,0.03,0.66,426.18
0.55,440.09,20.03,0.07,13.82,0.04,0.68,428.46
0.37,446.43,20.30,0.09,14.19,0.03,0.71,426.18
0.23,451.61,20.47,0.10,14.01,0.03,0.67,423.43
0.11,450.59,20.48,0.08,14.11,0.05,0.61,421.45
0.25,453.5,20.15,0.07,14.14,0.05,0.63,421.87
0.41,440.25,19.79,0.07,13.79,0.03,0.65,420.51
0.47,435.88,19.78,0.07,13.57,0.05,0.67,420.31
0.47,438.81,19.66,0.09,13.83,0.04,0.75,420.27
0.56,440.04,19.92,0.08,13.97,0.04,0.75,423.27
0.4,447.69,20.31,0.06,13.88,0.03,0.70,424.85
0.41,446.35,20.33,0.08,14.03,0.03,0.72,423.37
0.27,443.91,20.17,0.08,14.15,0.03,0.74,423.05
0.23,442.64,19.94,0.07,13.75,0.04,0.79,420.75
0.32,446.01,20.10,0.10,13.85,0.04,0.74,419.70
0.45,448.52,20.06,0.09,14.06,0.03,0.77,420.95
0.55,444.45,19.97,0.09,13.98,0.05,0.77,421.20
0.45,444.68,20.09,0.07,13.95,0.04,0.77,423.80
0.4,445.35,19.82,0.10,14.03,0.05,0.72,423.53
0.33,443.55,20.03,0.08,13.83,0.04,0.73,422.12
0.47,445.06,19.76,0.07,14.11,0.03,0.75,421.34
0.48,441.79,20.10,0.06,13.83,0.04,0.75,422.82
0.41,440.65,19.60,0.08,13.71,0.03,0.77,422.00
0.53,441.64,20.01,0.08,13.91,0.05,0.84,422.34
0.43,443.92,20.19,0.08,14.00,0.05,0.84,422.79
0.42,444.45,20.08,0.06,13.81,0.04,0.76,425.01
0.43,442.94,20.02,0.10,13.71,0.04,0.71,424.93
0.46,446.13,20.11,0.10,14.13,0.04,0.74,422.70
0.6,446.54,20.00,0.09,13.92,0.04,0.73,421.86
0.48,446.02,19.79,0.10,13.83,0.04,0.71,421.51
0.41,444.3,20.21,0.07,14.17,0.04,0.74,422.95
0.26,444.97,19.85,0.06,13.89,0.05,0.69,422.45
0.21,441.21,19.86,0.09,13.67,0.03,0.67,425.41
0.22,443.26,19.66,0.08,13.79,0.04,0.72,422.98
0.29,441.25,20.01,0.06,14.07,0.04,0.70,421.95
0.15,444.22,19.91,0.08,13.99,0.04,0.69,422.33
0.2,441.98,19.84,0.08,14.10,0.04,0.73,422.94
0.35,442.16,19.79,0.09,13.97,0.04,0.73,421.02
0.4,442.2,19.70,0.09,13.99,0.03,0.74,423.80
0.34,441.63,20.04,0.07,13.87,0.03,0.71,425.68
0.24,443.52,19.74,0.07,13.84,0.03,0.68,428.96
0.19,441.55,20.01,0.08,13.94,0.03,0.74,427.28
0.32,441.05,20.00,0.06,14.02,0.04,0.71,426.19
0.34,449.17,20.04,0.07,14.26,0.03,0.75,422.81
0.45,445.75,20.22,0.07,13.80,0.04,0.73,423.66
0.37,447.98,20.16,0.08,14.17,0.04,0.75,424.58
0.4,440.95,20.03,0.07,13.79,0.03,0.75,426.09
0.41,438.52,19.49,0.09,13.77,0.04,0.76,425.55
0.49,431.71,19.39,0.07,13.57,0.04,0.81,424.69
0.48,439.34,19.98,0.06,13.77,0.04,0.77,425.17
0.55,437.32,19.52,0.09,13.77,0.05,0.70,424.31
0.52,437.58,19.78,0.09,13.88,0.04,0.70,425.30
0.43,438.26,19.58,0.06,13.62,0.03,0.70,424.30
0.48,440.47,19.83,0.08,13.95,0.04,0.69,423.19
0.47,440.48,19.82,0.07,14.03,0.03,0.68,422.93
0.41,438.81,19.52,0.08,13.86,0.04,0.67,422.78
0.52,435.61,19.54,0.08,13.64,0.02,0.70,423.48
0.54,437.88,19.90,0.10,13.55,0.05,0.77,422.80
0.54,441.34,19.70,0.07,13.76,0.03,0.64,422.09
0.2,443.45,19.87,0.07,13.87,0.03,0.74,425.01
0.4,437.05,19.44,0.07,13.53,0.04,0.71,425.37
0.47,438.51,19.70,0.06,13.81,0.04,0.79,424.36
0.41,443.78,19.84,0.07,13.76,0.03,0.73,425.12
0.45,445.41,20.20,0.09,13.82,0.04,0.71,423.13
0.31,441.58,19.78,0.06,13.83,0.05,0.71,422.38
0.45,442.22,19.89,0.06,13.87,0.03,0.71,423.18
0.52,437.41,19.86,0.09,13.91,0.04,0.62,424.18
0.41,438.42,19.48,0.07,13.89,0.04,0.66,421.99
0.44,435.98,19.39,0.08,13.57,0.02,0.60,422.79
0.48,437.23,19.39,0.08,13.92,0.03,0.67,420.61
0.5,440.85,19.75,0.10,13.95,0.03,0.70,422.23
0.44,441.05,19.81,0.07,13.81,0.04,0.71,419.21
0.49,435.52,19.60,0.07,13.91,0.04,0.67,421.94
0.26,437.97,19.47,0.07,13.84,0.05,0.68,421.53
0.42,437.4,19.40,0.08,13.70,0.04,0.67,422.06
0.46,440.68,19.70,0.07,13.98,0.02,0.71,422.62
0.47,441.79,19.80,0.08,13.83,0.04,0.73,422.59
0.43,435.45,19.74,0.09,13.63,0.04,0.76,423.59
0.46,433.83,19.29,0.07,13.83,0.03,0.81,422.17
0.51,431.34,19.25,0.07,13.50,0.04,0.79,419.61
0.52,426.23,19.25,0.07,13.56,0.04,0.72,420.85
0.47,430.05,19.58,0.08,13.47,0.03,0.72,421.85
0.36,437.1,19.70,0.09,13.57,0.03,0.78,421.09
0.48,433.9,19.39,0.09,13.67,0.04,0.78,420.12
0.4,436.69,19.89,0.09,13.60,0.04,0.76,417.49
0.49,433.39,19.52,0.09,13.75,0.04,0.71,417.58
0.43,433.3,19.26,0.06,13.61,0.04,0.60,417.07
0.53,428.89,19.22,0.07,13.47,0.03,0.73,416.77
0.57,426.54,19.14,0.07,13.53,0.03,0.74,417.31
0.61,423.67,18.92,0.08,13.51,0.02,0.76,418.16
0.59,426.04,18.88,0.07,13.43,0.03,0.75,417.48
0.3,431.14,19.55,0.08,13.45,0.04,0.66,418.72
0.41,429.08,19.40,0.06,13.58,0.02,0.68,417.59
0.37,428.88,19.27,0.10,13.51,0.03,0.70,419.69
0.59,423.05,18.84,0.09,13.30,0.04,0.72,418.46
0.56,428.94,19.25,0.06,13.58,0.04,0.67,420.63
0.44,430.23,19.32,0.09,13.69,0.03,0.71,419.48
0.4,436.4,19.42,0.07,13.62,0.04,0.72,420.59
0.53,426.54,19.16,0.07,13.57,0.03,0.69,421.15
0.52,426.05,19.10,0.06,13.29,0.03,0.68,421.24
0.55,421.49,19.21,0.08,13.36,0.04,0.68,419.58
0.59,409.78,18.55,0.09,13.10,0.03,0.69,416.54
0.64,404.99,18.35,0.06,12.57,0.02,0.63,417.66
0.64,410.06,18.30,0.07,12.81,0.03,0.63,420.05
0.59,412.31,18.55,0.08,12.90,0.03,0.70,418.92
0.56,412.57,18.70,0.06,13.19,0.03,0.65,417.80
0.55,408.56,18.42,0.07,13.02,0.02,0.67,418.20
0.56,401.4,17.81,0.09,12.62,0.03,0.66,418.15
0.55,402.39,18.31,0.09,12.89,0.04,0.70,416.13
0.57,403.12,18.29,0.09,12.93,0.03,0.67,413.35
0.55,402.29,18.14,0.07,12.52,0.02,0.69,415.71
0.42,414.2,18.71,0.08,12.90,0.03,0.70,414.66
0.2,419.2,18.65,0.06,13.24,0.04,0.72,415.21
0.17,418.06,18.97,0.07,13.09,0.03,0.71,413.32
0.1,434.09,19.46,0.08,13.60,0.05,0.69,411.95
0.52,409.41,18.26,0.07,12.80,0.03,0.67,414.05
0.59,392.94,17.47,0.06,12.25,0.04,0.62,415.82
0.59,383.81,17.29,0.07,12.34,0.02,0.64,413.46
0.58,377.94,16.83,0.06,12.11,0.04,0.59,414.19
0.57,392.17,17.75,0.06,12.25,0.04,0.61,414.75
0.55,400.14,17.77,0.06,12.45,0.04,0.60,415.49
0.57,400.2,17.86,0.09,12.45,0.04,0.65,418.62
0.55,389.47,17.24,0.08,12.15,0.02,0.59,411.50
0.57,387.73,17.48,0.08,12.37,0.03,0.68,408.54
0.56,389.23,17.67,0.08,12.28,0.03,0.60,408.10
0.52,399.02,17.92,0.06,12.54,0.02,0.64,401.29
0.62,362.38,16.17,0.05,11.51,0.02,0.69,405.44
0.62,366.8,16.46,0.06,11.48,0.03,0.67,408.41
0.61,369.95,16.73,0.06,11.68,0.04,0.62,408.93
0.46,394.34,17.97,0.08,12.33,0.04,0.64,410.96
0.41,403.96,17.95,0.06,12.72,0.04,0.63,408.36
0.42,409.84,18.43,0.09,12.89,0.04,0.61,406.26
0.57,404.79,18.32,0.05,12.81,0.03,0.61,401.34
0.62,392.8,17.65,0.09,12.54,0.03,0.57,393.34
0.62,397.05,17.88,0.06,12.65,0.03,0.55,399.45
0.61,395.12,17.88,0.07,12.69,0.02,0.58,399.88
0.55,395.02,17.95,0.08,12.36,0.03,0.57,406.00
0.51,406.32,18.34,0.06,12.84,0.04,0.53,403.43
0.53,398.94,18.08,0.06,12.53,0.02,0.48,402.13
0.4,399.19,17.82,0.09,12.61,0.04,0.55,398.74
0.51,371.59,16.59,0.07,11.61,0.04,0.55,398.27
0.56,353.96,16.09,0.08,11.39,0.04,0.56,399.08
0.55,357.88,16.16,0.07,11.36,0.02,0.61,400.15
0.62,361.59,16.44,0.08,11.60,0.03,0.63,402.29
0.62,357.9,15.94,0.06,11.46,0.03,0.55,403.78
0.55,365.87,16.59,0.09,11.53,0.02,0.54,404.66
0.48,370.37,16.41,0.09,11.67,0.03,0.53,407.93
0.49,373.02,16.62,0.08,11.65,0.03,0.54,394.73
0.56,372.59,16.64,0.07,11.80,0.03,0.61,383.21
0.5,376.31,16.77,0.07,11.77,0.03,0.59,380.05
0.55,353.72,15.83,0.08,11.30,0.03,0.59,375.10
0.53,355.74,15.85,0.07,11.39,0.03,0.60,376.49
0.52,361.4,16.13,0.06,11.48,0.03,0.58,387.86
0.52,357.2,16.15,0.08,11.44,0.02,0.58,389.36
0.49,352.62,15.85,0.07,11.20,0.03,0.61,395.21
0.52,347.9,15.42,0.07,11.08,0.02,0.56,406.11
0.51,355.13,16.05,0.08,11.07,0.03,0.54,408.46
0.55,358.39,16.01,0.07,11.19,0.03,0.59,397.62
0.59,354.89,15.99,0.05,11.33,0.02,0.57,379.20
0.55,379.85,17.17,0.06,11.89,0.04,0.58,391.97
0.65,364.38,16.33,0.05,11.47,0.04,0.52,389.76
0.59,373.39,16.71,0.08,11.61,0.03,0.50,384.07
0.48,379.56,17.11,0.06,12.20,0.02,0.58,385.04
0.49,357.27,16.23,0.08,11.53,0.02,0.59,387.64
0.48,352.23,15.75,0.08,11.10,0.03,0.57,375.17
0.39,346.78,15.69,0.07,11.21,0.02,0.53,373.72
0.47,342.76,15.33,0.07,10.75,0.03,0.50,379.59
0.49,341.38,15.38,0.06,10.66,0.04,0.51,374.90
0.46,343.95,15.43,0.07,11.13,0.02,0.59,371.83
0.5,334.89,15.26,0.07,10.53,0.02,0.56,370.88
0.47,335.98,15.07,0.05,10.91,0.02,0.56,365.56
0.58,321.4,14.22,0.08,10.07,0.02,0.59,365.00
0.63,321.19,14.54,0.05,10.48,0.01,0.56,366.15
0.58,341.8,15.54,0.07,10.86,0.02,0.52,373.79
0.57,355.7,15.86,0.08,11.09,0.03,0.60,376.79
0.59,350.96,15.96,0.06,11.11,0.03,0.60,366.85
0.57,347.41,15.73,0.08,10.99,0.03,0.59,357.16
0.62,333.88,15.27,0.05,10.43,0.03,0.55,347.11
0.37,382.01,17.01,0.05,12.14,0.02,0.54,343.13
0.15,392.67,17.42,0.06,12.35,0.04,0.57,348.29
0.12,388.57,17.33,0.09,12.22,0.03,0.56,350.73
0.6,332.59,15.17,0.06,10.65,0.02,0.49,364.09
0.43,344.99,15.74,0.06,11.16,0.02,0.50,357.94
0.48,318.97,14.15,0.08,10.02,0.02,0.52,347.38
0.48,323.18,14.58,0.07,10.24,0.02,0.50,329.76
0.55,313.62,14.27,0.06,10.02,0.03,0.56,328.96
0.55,316.16,14.15,0.06,10.23,0.03,0.55,344.82
0.55,317.65,14.49,0.04,10.07,0.04,0.60,347.62
0.54,310.12,14.17,0.08,9.72,0.02,0.63,339.92
0.51,314.05,14.04,0.05,10.04,0.02,0.62,342.91
0.56,297.19,13.57,0.04,9.74,0.01,0.63,338.26
0.53,300.31,13.45,0.04,9.67,0.01,0.62,333.63
0.59,311.97,13.88,0.05,10.08,0.03,0.59,335.48
0.6,312.07,14.23,0.04,9.88,0.03,0.56,339.86
0.63,312.58,14.04,0.05,9.99,0.01,0.61,326.65
0.63,311.42,13.88,0.08,9.86,0.03,0.59,314.71
0.58,314.59,14.25,0.04,9.88,0.03,0.57,319.04
0.46,324.04,14.34,0.07,10.55,0.03,0.58,317.47
0.58,313.62,14.27,0.07,10.21,0.03,0.61,325.82
0.66,315.16,14.22,0.07,9.90,0.02,0.61,331.14
0.66,317.34,14.27,0.05,10.08,0.02,0.63,317.43
0.56,327.12,14.80,0.07,10.30,0.02,0.64,317.63
0.5,328.05,14.84,0.05,10.54,0.03,0.62,311.87
0.53,323.04,14.30,0.06,10.11,0.02,0.56,313.42
0.52,322.68,14.23,0.05,10.39,0.02,0.54,304.61
0.56,318.32,14.24,0.04,9.96,0.03,0.52,313.16
0.62,318.38,14.37,0.08,10.13,0.02,0.50,311.47
0.47,346.27,15.34,0.06,10.99,0.02,0.53,315.06
0.55,324.66,14.57,0.07,10.15,0.02,0.61,300.18
0.6,312.7,13.93,0.04,10.05,0.03,0.60,301.76
0.57,320.86,14.44,0.08,10.15,0.03,0.66,308.54
0.54,323.06,14.62,0.08,10.21,0.02,0.68,313.21
0.52,321.42,14.35,0.06,10.06,0.02,0.65,313.22
0.5,330.61,15.05,0.05,10.50,0.02,0.66,320.71
0.51,334.52,14.91,0.05,10.86,0.03,0.62,336.71
0.56,329.62,14.80,0.08,10.50,0.02,0.55,331.37
0.57,337.29,15.29,0.07,10.68,0.04,0.51,325.17
0.54,346.41,15.68,0.08,11.05,0.03,0.61,325.63
0.52,350.78,15.73,0.05,11.27,0.02,0.58,306.47
0.39,388.16,17.21,0.05,12.43,0.03,0.66,304.69
0.48,373.11,16.63,0.06,11.74,0.04,0.57,316.98
0.43,369.41,16.81,0.08,11.66,0.03,0.62,324.51
0.52,335.22,15.13,0.06,10.62,0.04,0.56,303.45
0.66,304.41,13.91,0.08,9.93,0.03,0.60,309.13
0.62,316.79,14.29,0.06,10.22,0.03,0.59,316.50
0.6,327.09,14.93,0.08,10.36,0.02,0.63,314.55
0.63,328.56,14.53,0.05,10.32,0.02,0.66,324.78
0.61,336.99,15.39,0.06,10.65,0.04,0.63,317.37
0.62,335.73,15.22,0.08,10.56,0.04,0.60,305.87
0.59,330.16,14.60,0.07,10.53,0.02,0.59,286.11
0.58,338.53,15.25,0.06,10.91,0.04,0.58,298.93
0.52,365.24,16.57,0.07,11.37,0.03,0.57,315.61
0.38,381.92,17.16,0.07,11.87,0.02,0.54,315.55
0.38,388.02,17.68,0.06,12.10,0.04,0.64,312.35
0.63,314.67,14.11,0.08,10.10,0.02,0.62,307.57
0.66,317.44,14.48,0.05,10.30,0.02,0.64,296.51
0.62,326.66,14.94,0.04,10.44,0.03,0.59,305.75
0.64,340.92,15.16,0.05,10.79,0.02,0.64,308.49
0.61,350.89,15.78,0.07,11.02,0.02,0.60,300.26
0.59,366.85,16.70,0.07,11.44,0.02,0.57,294.11
0.44,373.68,16.71,0.08,12.01,0.03,0.55,301.82
0.51,360.96,16.02,0.09,11.40,0.02,0.55,291.74
0.62,331.14,14.71,0.06,10.77,0.02,0.52,301.88
0.61,351.01,15.58,0.06,11.05,0.03,0.53,309.90
0.6,379.78,17.04,0.07,12.10,0.02,0.59,306.97
0.64,360.18,16.05,0.06,11.59,0.03,0.63,315.76
0.6,383.94,17.22,0.09,12.34,0.04,0.63,320.00
0.61,386.77,17.30,0.05,12.01,0.03,0.64,315.54
0.66,377.9,17.08,0.07,12.16,0.03,0.63,307.62
0.49,389.45,17.50,0.05,12.44,0.03,0.61,303.95
0.44,404.45,18.43,0.07,12.80,0.04,0.66,314.47
0.36,406.72,18.08,0.06,12.73,0.03,0.56,324.71
0.29,399.02,17.70,0.06,12.80,0.03,0.56,324.95
0.67,324.02,14.76,0.04,10.19,0.03,0.67,330.89
0.66,326.24,14.61,0.05,10.21,0.03,0.67,328.07
0.61,359.88,16.06,0.08,11.21,0.03,0.68,323.32
0.35,405.94,18.33,0.08,12.93,0.03,0.67,331.42
0.36,406.99,18.32,0.06,13.01,0.02,0.65,335.27
0.48,385.78,17.19,0.08,12.13,0.03,0.62,334.87
0.49,377.66,16.82,0.06,11.98,0.04,0.60,327.78
0.68,341.95,15.14,0.06,10.87,0.03,0.58,316.81
0.65,346.6,15.66,0.05,11.18,0.02,0.62,328.25
0.52,393.59,17.48,0.07,12.62,0.02,0.69,336.97
0.58,391.56,17.83,0.07,12.58,0.04,0.71,340.74
0.66,383.8,17.08,0.05,12.31,0.04,0.69,331.92
0.64,397.18,17.95,0.07,12.44,0.02,0.70,326.31
0.61,402.55,18.07,0.07,12.92,0.03,0.70,323.21
0.46,418.23,18.80,0.06,13.19,0.02,0.60,314.71
0.53,402.09,17.96,0.07,12.54,0.03,0.58,318.46
0.59,399.1,17.83,0.05,12.66,0.03,0.63,330.73
0.48,394.87,17.65,0.06,12.59,0.04,0.71,326.00
0.59,386.47,17.12,0.05,12.32,0.03,0.70,319.15
0.68,361.37,16.31,0.06,11.49,0.03,0.75,326.51
0.65,384,17.10,0.08,12.05,0.04,0.76,337.96
0.59,418.16,18.71,0.06,13.29,0.04,0.73,339.77
0.67,386.38,17.30,0.06,12.12,0.04,0.69,332.67
0.71,349.41,15.67,0.07,10.98,0.03,0.63,331.83
0.67,373.34,16.66,0.05,11.96,0.03,0.62,334.72
0.55,402.52,18.30,0.06,12.58,0.04,0.61,333.92
0.55,405.55,18.28,0.07,12.60,0.03,0.65,330.39
0.59,394.02,17.68,0.07,12.26,0.03,0.72,341.89
0.54,415.07,18.53,0.07,13.21,0.04,0.79,350.38
0.45,432.95,19.21,0.08,13.81,0.03,0.79,343.68
0.58,421.97,18.77,0.06,13.29,0.04,0.72,340.22
0.6,413.23,18.71,0.06,13.08,0.02,0.69,351.42
0.51,423.66,18.89,0.07,13.40,0.04,0.70,351.85
0.55,412.34,18.60,0.08,13.03,0.04,0.74,344.29
0.48,426.8,19.41,0.09,13.22,0.04,0.77,332.17
0.33,427.75,19.42,0.09,13.26,0.04,0.75,332.94
0.51,417.41,18.69,0.10,13.30,0.04,0.81,336.57
0.55,407.92,18.23,0.08,12.82,0.03,0.82,345.58
0.52,408.97,18.33,0.08,13.00,0.04,0.81,357.33
0.55,413.59,18.52,0.05,13.02,0.04,0.80,363.83
0.39,432.15,19.63,0.08,13.48,0.03,0.80,349.16
0.46,424.17,18.82,0.05,13.17,0.05,0.77,359.68
0.51,422.67,19.03,0.07,13.37,0.02,0.73,351.24
0.53,429.98,19.31,0.09,13.46,0.03,0.72,343.54
0.55,432.68,19.24,0.07,13.49,0.03,0.72,339.63
0.53,438.72,19.95,0.07,13.81,0.03,0.73,332.53
0.52,437.83,19.75,0.07,13.81,0.03,0.75,342.80
0.55,421.49,19.17,0.08,13.05,0.05,0.75,354.52
0.52,413.41,18.63,0.06,13.11,0.02,0.67,355.41
0.39,419.66,19.04,0.09,13.11,0.03,0.73,359.30
0.63,401.4,17.81,0.09,12.69,0.02,0.77,359.60
0.56,420.06,18.87,0.08,13.10,0.04,0.77,364.67
0.62,406.58,18.32,0.09,12.92,0.04,0.77,358.41
0.58,415.12,18.44,0.06,12.96,0.03,0.76,363.05
0.6,415.58,18.91,0.09,12.92,0.04,0.77,360.19
0.62,430.01,19.33,0.07,13.70,0.04,0.74,364.33
0.52,441.3,19.77,0.09,13.68,0.03,0.72,373.26
0.54,443.16,19.84,0.06,14.00,0.04,0.76,365.67
0.66,431.54,19.33,0.08,13.40,0.04,0.77,369.24
0.66,429.68,19.40,0.09,13.70,0.02,0.71,377.05
0.63,435.69,19.67,0.09,13.79,0.03,0.72,387.95
0.61,426.57,19.36,0.06,13.31,0.03,0.72,383.61
0.45,439.34,19.71,0.08,13.91,0.03,0.68,382.34
0.1,439.89,19.93,0.06,13.98,0.04,0.74,383.43
0.22,433.38,19.31,0.07,13.42,0.04,0.73,386.19
0.59,424.98,19.15,0.08,13.57,0.04,0.77,387.38
0.66,411.82,18.71,0.08,12.79,0.04,0.65,387.94
0.67,404.77,18.11,0.06,12.85,0.02,0.73,389.91
0.63,426.48,19.12,0.08,13.22,0.04,0.77,390.79
0.62,442.03,20.09,0.07,13.69,0.04,0.73,395.43
0.61,438.59,19.98,0.06,13.77,0.04,0.77,397.04
0.62,451.84,20.20,0.08,14.12,0.04,0.73,400.97
0.49,447.87,20.28,0.08,14.18,0.04,0.66,397.36
0.49,450.2,20.06,0.08,14.03,0.03,0.70,400.37
0.6,438.23,19.86,0.07,13.79,0.05,0.69,403.43
0.53,441.62,19.74,0.09,14.06,0.04,0.68,407.76
0.62,431.58,19.56,0.06,13.38,0.05,0.67,408.77
0.59,446.59,19.81,0.07,14.13,0.04,0.69,401.93
