Clearness,GHI,Vw,Iw,Ve,Ie,Clearness_F,GHI_F
0.56,422.74,18.74,0.09,13.13,0.04,0.76,343.37
0.65,395.93,17.95,0.07,12.50,0.03,0.77,339.46
0.72,363.43,16.23,0.07,11.74,0.02,0.74,332.36
0.66,388.48,17.51,0.06,12.22,0.04,0.72,342.64
0.62,401.89,17.94,0.08,12.82,0.04,0.76,354.35
0.59,399.95,17.99,0.09,12.83,0.04,0.77,355.25
0.59,404.86,18.12,0.08,12.99,0.03,0.71,359.13
0.54,411.69,18.44,0.09,13.10,0.04,0.72,359.43
0.67,402.17,18.17,0.08,12.71,0.03,0.72,364.50
0.53,428.77,19.43,0.06,13.69,0.04,0.68,358.25
0.39,442.75,20.03,0.09,14.05,0.04,0.74,362.88
0.45,431.17,19.44,0.09,13.59,0.04,0.73,360.02
0.45,440.13,19.70,0.07,13.99,0.04,0.77,364.16
0.38,440.72,20.04,0.09,13.69,0.04,0.66,373.10
0.34,441.04,19.98,0.06,13.90,0.03,0.73,365.50
0.46,440.31,19.53,0.09,13.98,0.03,0.77,369.07
0.59,433.18,19.56,0.06,13.84,0.03,0.73,376.88
0.57,427.66,19.49,0.08,13.65,0.03,0.77,387.78
0.55,435.16,19.65,0.10,13.58,0.04,0.74,383.44
0.59,428.7,19.52,0.08,13.48,0.03,0.66,382.17
0.59,431.21,19.63,0.06,13.55,0.03,0.70,383.26
0.5,437.32,19.51,0.07,13.67,0.03,0.69,386.02
0.44,428.77,19.23,0.09,13.63,0.04,0.68,387.21
0.58,414.92,18.81,0.08,13.06,0.03,0.67,387.78
0.61,419.82,18.80,0.06,13.06,0.04,0.69,389.74
0.57,423.38,19.29,0.08,13.30,0.04,0.72,390.62
0.55,437.32,19.77,0.09,13.84,0.04,0.72,395.26
0.53,438.15,19.91,0.10,13.69,0.03,0.72,396.87
0.55,426.52,18.92,0.09,13.46,0.02,0.71,400.81
0.55,426.36,19.08,0.05,13.62,0.03,0.68,397.19
0.37,425.51,19.14,0.09,13.28,0.03,0.69,400.21
0.53,419.35,19.10,0.07,13.01,0.04,0.72,403.26
0.58,429.05,19.46,0.06,13.29,0.04,0.74,407.59
0.62,429.45,19.04,0.09,13.62,0.03,0.73,408.60
0.45,446.05,20.12,0.06,14.15,0.04,0.75,401.76
0.52,437.38,19.83,0.09,13.74,0.04,0.76,397.97
0.48,439.53,19.98,0.06,13.82,0.03,0.71,396.62
0.55,428.95,19.10,0.09,13.62,0.03,0.63,394.32
0.45,438.41,19.85,0.08,13.66,0.05,0.67,390.91
0.53,435.42,19.44,0.06,13.81,0.03,0.72,397.43
0.59,443.58,20.07,0.06,13.82,0.03,0.75,399.86
0.59,439.66,19.96,0.08,13.97,0.03,0.69,410.23
0.61,441.5,19.73,0.07,14.00,0.04,0.73,417.41
0.55,448.02,19.92,0.07,13.94,0.03,0.68,414.70
0.53,448.23,20.35,0.09,14.04,0.03,0.73,417.13
0.49,447.11,20.15,0.09,14.15,0.05,0.73,414.99
0.59,440.63,19.86,0.08,14.00,0.04,0.73,417.44
0.51,442.11,19.65,0.06,13.90,0.03,0.64,414.87
0.59,435.33,19.39,0.06,13.75,0.04,0.63,410.26
0.52,441.77,19.84,0.08,13.77,0.04,0.68,403.82
0.54,438.05,19.60,0.06,13.86,0.04,0.79,404.94
0.39,445.73,20.06,0.06,14.16,0.03,0.72,404.54
0.41,444.55,19.84,0.07,14.16,0.03,0.75,405.86
0.45,448.83,20.21,0.08,14.30,0.04,0.71,406.88
0.48,443.2,19.82,0.08,13.99,0.04,0.69,405.79
0.6,436.34,19.43,0.10,13.55,0.03,0.66,408.98
0.55,446.27,20.17,0.09,14.05,0.05,0.66,410.48
0.26,454.06,20.22,0.06,14.12,0.04,0.65,413.20
0.51,439.26,19.58,0.08,13.95,0.04,0.66,411.67
0.55,439.56,19.55,0.07,14.01,0.03,0.62,411.51
0.54,441.88,19.70,0.07,13.73,0.04,0.77,411.55
0.41,443.32,20.11,0.09,13.79,0.03,0.73,412.29
0.54,438.43,19.97,0.08,13.60,0.03,0.71,409.18
0.39,440.77,19.96,0.09,13.81,0.04,0.68,413.36
0.34,440.79,20.03,0.06,13.86,0.04,0.68,415.96
0.45,441.82,19.98,0.10,14.01,0.05,0.67,415.35
0.48,442.93,19.67,0.07,14.05,0.03,0.66,414.82
0.45,446.37,20.00,0.07,14.03,0.03,0.68,418.20
0.33,446.44,20.22,0.10,13.80,0.05,0.71,420.43
0.47,448.91,20.41,0.08,14.05,0.05,0.67,422.78
0.5,448.04,20.03,0.06,14.01,0.03,0.62,425.23
0.35,446.71,19.85,0.08,13.82,0.03,0.64,426.10
0.18,445.77,20.15,0.08,13.79,0.03,0.65,428.38
0.32,442.64,19.67,0.09,14.04,0.04,0.68,426.10
0.44,441.26,20.04,0.06,13.81,0.04,0.75,423.34
0.35,448.42,20.17,0.08,14.10,0.05,0.75,421.36
0.52,439.91,19.91,0.10,13.63,0.03,0.70,421.79
0.52,441.78,19.99,0.06,13.74,0.03,0.72,420.43
0.49,443.53,19.69,0.06,14.12,0.04,0.74,420.23
0.41,440.93,19.80,0.08,13.65,0.03,0.79,420.19
0.47,440.36,19.76,0.08,13.98,0.03,0.74,423.19
0.48,442.47,20.15,0.08,14.06,0.03,0.77,424.77
0.48,443.47,20.14,0.09,13.79,0.03,0.77,423.28
0.38,444.47,19.81,0.07,14.14,0.04,0.78,422.97
0.29,447.02,20.34,0.09,13.93,0.03,0.72,420.67
0.34,443.89,19.77,0.08,13.74,0.04,0.73,419.61
0.32,441.52,19.76,0.06,13.82,0.04,0.75,420.87
0.23,446.73,20.12,0.06,13.96,0.03,0.75,421.12
0.27,445.34,19.92,0.08,14.10,0.04,0.77,423.71
0.34,447.91,20.40,0.08,14.19,0.04,0.84,423.45
0.38,445.48,19.97,0.09,13.92,0.05,0.84,422.04
0.44,438.9,19.62,0.08,13.70,0.03,0.76,421.25
0.32,443.92,19.77,0.09,14.11,0.04,0.71,422.73
0.21,440.06,19.80,0.07,13.63,0.05,0.74,421.92
0.16,435.31,19.72,0.07,13.89,0.04,0.73,422.26
0.38,437.56,19.84,0.08,13.93,0.04,0.71,422.71
0.51,440.34,20.04,0.07,13.94,0.03,0.74,424.93
0.52,435.51,19.31,0.06,13.52,0.04,0.69,424.85
0.53,434.95,19.49,0.08,13.53,0.04,0.67,422.62
0.36,440.78,19.63,0.06,13.96,0.03,0.72,421.77
0.54,436.95,19.48,0.09,13.62,0.03,0.70,421.43
0.45,437.27,19.43,0.07,13.75,0.04,0.69,422.87
0.12,439.38,19.95,0.07,13.93,0.04,0.73,422.37
0.11,438.95,19.88,0.10,13.99,0.03,0.73,425.33
0.2,441.12,19.81,0.07,13.64,0.04,0.74,422.90
0.25,440.7,19.90,0.10,13.63,0.03,0.71,421.87
0.16,439.49,19.86,0.10,13.77,0.03,0.68,422.24
0.22,437.6,19.63,0.09,13.54,0.04,0.74,422.86
0.1,439.08,19.88,0.06,13.99,0.03,0.71,420.94
0.42,439.51,19.81,0.10,13.85,0.04,0.75,423.71
0.51,437.65,19.88,0.07,13.64,0.03,0.73,425.60
0.37,436.2,19.52,0.06,13.65,0.05,0.75,428.88
0.27,439.06,19.95,0.08,13.61,0.04,0.75,427.20
0.52,442.72,19.75,0.08,13.89,0.03,0.76,426.11
0.49,441.77,19.60,0.08,13.89,0.04,0.81,422.73
0.3,444.97,20.21,0.09,13.95,0.04,0.77,423.58
0.34,445.53,19.93,0.08,13.90,0.04,0.70,424.50
0.38,442.06,19.91,0.06,13.70,0.03,0.70,426.01
0.38,444.91,20.25,0.07,13.98,0.03,0.70,425.46
0.41,439.79,19.86,0.07,13.88,0.04,0.69,424.61
0.4,436.34,19.80,0.07,13.78,0.04,0.68,425.09
0.53,439.3,19.59,0.08,13.70,0.04,0.67,424.23
0.51,436.6,19.42,0.07,13.73,0.05,0.71,425.22
0.36,438.95,19.68,0.08,13.65,0.03,0.77,424.22
0.27,441.05,19.68,0.08,14.06,0.03,0.64,423.10
0.2,440.59,19.71,0.07,14.05,0.03,0.74,422.85
0.3,439.52,19.67,0.09,13.71,0.03,0.71,422.69
0.32,440.45,19.85,0.08,13.96,0.04,0.79,423.40
0.49,441.91,19.76,0.06,14.08,0.05,0.73,422.72
0.38,445.51,20.06,0.07,13.89,0.04,0.71,422.01
0.48,445.08,19.87,0.07,13.93,0.03,0.71,424.93
0.47,434.63,19.68,0.09,13.60,0.04,0.71,425.28
0.44,433.39,19.64,0.09,13.79,0.04,0.62,424.28
0.53,431.74,19.62,0.07,13.40,0.03,0.66,425.04
0.55,430.23,19.18,0.08,13.46,0.03,0.60,423.05
0.33,435.98,19.86,0.08,13.70,0.04,0.67,422.29
0.33,444.97,19.78,0.09,13.82,0.03,0.71,423.10
0.49,439.34,19.53,0.08,13.65,0.05,0.71,424.10
0.52,436.07,19.81,0.07,13.83,0.02,0.67,421.91
0.55,433.52,19.60,0.07,13.60,0.04,0.68,422.71
0.42,435.3,19.57,0.06,13.72,0.03,0.67,420.53
0.31,432.03,19.67,0.08,13.54,0.03,0.71,422.14
0.48,430.2,19.51,0.07,13.73,0.04,0.73,419.12
0.54,428.7,19.15,0.09,13.65,0.04,0.76,421.86
0.35,439.01,19.69,0.06,13.69,0.02,0.81,421.44
0.3,441.09,19.85,0.09,13.64,0.03,0.79,421.98
0.3,440.45,19.96,0.06,13.94,0.03,0.72,422.54
0.48,439.2,19.93,0.06,13.87,0.03,0.72,422.50
0.52,435.58,19.83,0.09,13.78,0.03,0.78,423.50
0.48,438.48,19.54,0.10,13.79,0.03,0.78,422.09
0.47,439.12,19.80,0.08,13.99,0.03,0.76,419.52
0.48,434.95,19.44,0.09,13.68,0.04,0.71,420.77
0.52,433.05,19.26,0.07,13.62,0.03,0.60,421.77
0.46,435.62,19.46,0.07,13.55,0.03,0.73,421.01
0.45,434.85,19.80,0.06,13.54,0.02,0.74,420.04
0.38,438.08,19.79,0.09,13.78,0.04,0.76,417.41
0.41,435.62,19.74,0.08,13.89,0.04,0.75,417.50
0.43,435.63,19.63,0.06,13.80,0.02,0.66,416.98
0.44,438.38,19.53,0.06,13.99,0.03,0.68,416.68
0.49,441.26,19.71,0.09,13.81,0.03,0.70,417.23
0.56,438.99,19.61,0.09,13.70,0.04,0.72,418.08
0.33,438.67,19.85,0.06,13.65,0.04,0.67,417.40
0.38,435.4,19.72,0.07,13.85,0.03,0.71,418.64
0.33,438.36,19.74,0.08,13.94,0.02,0.72,417.51
0.32,435.64,19.34,0.09,13.56,0.04,0.69,419.61
0.48,431.69,19.23,0.09,13.64,0.03,0.68,418.37
0.52,432.37,19.29,0.08,13.55,0.02,0.69,420.55
0.54,433.56,19.40,0.08,13.54,0.04,0.69,419.40
0.51,434.6,19.62,0.07,13.68,0.03,0.63,420.51
0.48,438.28,19.51,0.09,13.74,0.03,0.63,421.07
0.43,435.38,19.31,0.09,13.51,0.04,0.71,421.16
0.38,431.52,19.44,0.06,13.73,0.04,0.65,419.49
0.39,436.92,19.77,0.06,13.62,0.03,0.67,416.45
0.28,436.02,19.49,0.10,13.69,0.04,0.66,417.57
0.31,432.6,19.54,0.08,13.48,0.03,0.70,419.97
0.33,432.87,19.24,0.09,13.80,0.02,0.68,418.84
0.42,428.95,19.27,0.09,13.65,0.03,0.69,417.72
