Clearness,GHI,Solar Angle,sin(b),Y,X
0.56,529.375272,59.85,0.864713441,6.996873184,1.156452477
0.23,217.9171575,60.17,0.867505119,6.995924815,1.152730949
0.49,465.196706,60.47,0.870097744,6.994959952,1.149296164
0.49,466.1679124,60.78,0.872751729,6.993999936,1.145801225
0.55,524.3198517,61.09,0.875380165,6.993035916,1.142360816
0.61,582.6257337,61.39,0.877899415,6.99206459,1.13908266
0.64,612.4263049,61.69,0.880394596,6.991100787,1.135854314
0.66,632.7120033,61.99,0.882865641,6.990113043,1.132675181
0.57,547.4646173,62.29,0.885312482,6.989231361,1.129544675
0.59,567.6061963,62.58,0.887654691,6.988233077,1.126564204
0.54,520.400995,62.88,0.890053735,6.987259239,1.123527671
0.47,453.6597858,63.17,0.892349617,6.986267407,1.120637002
0.57,551.035766,63.46,0.894622639,6.985271919,1.117789733
0.53,513.1436255,63.75,0.896872742,6.984275348,1.114985386
0.42,407.2075835,64.03,0.899023454,6.983269813,1.112318033
0.24,233.0065119,64.31,0.901152695,6.982263319,1.109689851
0.26,252.7615006,64.59,0.903260416,6.981264384,1.107100436
0.55,535.3752381,64.87,0.905346565,6.980242346,1.104549395
0.55,536.0118534,65.14,0.907337732,6.979233813,1.102125444
0.54,526.8714887,65.41,0.90930875,6.978213387,1.099736476
0.52,507.9685013,65.69,0.91133144,6.977194536,1.097295623
0.62,606.265477,65.95,0.913190165,6.976164906,1.095062166
0.65,636.2760592,66.22,0.915100476,6.975136851,1.092776177
0.66,646.6812721,66.48,0.916920829,6.97410314,1.090606701
0.67,656.7607574,66.64,0.918031664,6.973320772,1.089287047
0.67,657.0346962,66.8,0.919135339,6.972536293,1.087979057
0.65,637.6819696,66.96,0.920231847,6.971752228,1.086682669
0.65,637.9359072,67.12,0.921321179,6.97096731,1.08539782
0.62,608.7281442,67.28,0.922403327,6.970180275,1.084124451
0.56,549.9844514,67.43,0.923411307,6.969389027,1.082941039
0.61,599.2652202,67.58,0.924412959,6.968596976,1.081767613
0.53,520.8199112,67.73,0.925408274,6.967802856,1.080604127
0.43,422.6679909,67.88,0.926397247,6.967009193,1.07945053
0.48,471.9054229,68.02,0.92731456,6.966210205,1.078382722
0.5,491.6574974,68.16,0.928226337,6.965409189,1.07732345
0.48,472.073954,68.3,0.929132572,6.964608677,1.076272677
0.57,560.6818045,68.44,0.930033259,6.963807401,1.075230365
0.57,560.7299078,68.57,0.930864639,6.962999665,1.074270047
0.53,521.4223582,68.7,0.931691228,6.962192474,1.073316964
0.27,265.6498457,68.83,0.93251302,6.961384558,1.072371087
0.41,403.3919121,68.95,0.933267336,6.960570281,1.071504339
0.38,373.8716353,69.07,0.934017559,6.959756585,1.070643684
0.4,393.5428439,69.19,0.934763684,6.958942199,1.069789099
0.35,344.3421171,69.31,0.93550571,6.958125844,1.068940563
0.56,550.8938954,69.42,0.936182295,6.957305781,1.068168033
0.59,580.3468917,69.53,0.936855429,6.956485056,1.06740055
0.61,599.954807,69.64,0.93752511,6.95566239,1.066638098
0.59,580.1795237,69.74,0.938130913,6.954836095,1.065949311
0.57,560.4090563,69.84,0.938733858,6.954009164,1.065264656
0.59,579.9624414,69.94,0.939333943,6.953180313,1.064584121
0.61,599.4661712,70.03,0.939871573,6.952347904,1.063975152
0.61,599.3081552,70.12,0.940406885,6.951514878,1.063369501
0.55,540.2148403,70.21,0.940939876,6.950679949,1.062767161
0.51,500.7576443,70.29,0.941411696,6.949841519,1.062234519
0.58,569.1586301,70.28,0.941352819,6.949323627,1.062300956
0.55,539.44983,70.27,0.941293913,6.948886635,1.062367435
0.5,490.1293037,70.26,0.941234979,6.948378881,1.062433954
0.4,391.9074211,70.25,0.941176015,6.947941479,1.062500514
0.52,509.1834483,70.24,0.941117023,6.947422615,1.062567115
0.26,254.4472849,70.22,0.940998953,6.946980582,1.062700438
0.59,577.0635763,70.21,0.940939876,6.946461222,1.062767161
0.48,469.2496417,70.2,0.940880769,6.946042941,1.062833924
0.41,400.5532877,70.18,0.94076247,6.945509524,1.062967574
0.43,419.8575101,70.16,0.940644056,6.945075935,1.063101386
0.45,439.1254357,70.15,0.940584806,6.944546262,1.063168354
0.46,448.6626324,70.14,0.940525528,6.944116507,1.063235362
0.29,282.671378,70.12,0.940406885,6.943602012,1.063369501
0.22,214.3181419,70.1,0.940288127,6.943158221,1.063503804
0.37,360.2091838,70.08,0.940169255,6.942632564,1.06363827
0.48,467.0317376,70.06,0.940050268,6.942188319,1.0637729
0.28,272.2573677,70.04,0.939931167,6.941662133,1.063907694
0.51,495.6475977,70.03,0.939871573,6.941221776,1.063975152
0.49,475.904343,70.01,0.9397523,6.940705711,1.064110191
0.52,504.757146,69.99,0.939632913,6.94026988,1.064245395
0.49,475.2886194,69.96,0.939453617,6.939728959,1.064448507
0.45,436.2435716,69.94,0.939333943,6.93929266,1.064584121
0.38,368.1387062,69.92,0.939214155,6.938755571,1.064719899
0.3,290.4749172,69.9,0.939094252,6.938329463,1.064855841
0.26,251.5626048,69.87,0.938914184,6.937796727,1.065060064
0.29,280.4278937,69.85,0.938793995,6.937350196,1.065196417
0.26,251.2357511,69.82,0.938613497,6.936816889,1.065401257
0.17,164.1750421,69.8,0.938493023,6.936369888,1.065538023
0.34,328.1150617,69.77,0.938312096,6.935846666,1.065743481
0.4,385.7953689,69.75,0.938191336,6.935399196,1.06588066
0.44,424.0661698,69.72,0.938009981,6.934864745,1.066086737
0.34,327.5956406,69.68,0.937767774,6.934842642,1.066362086
0.37,356.4084405,69.63,0.937464373,6.934906175,1.066707204
0.35,337.0481568,69.59,0.937221138,6.934883961,1.066984044
0.4,385.062342,69.54,0.936916452,6.934857147,1.067331028
0.43,413.8621889,69.5,0.936672189,6.934925021,1.067609364
0.36,346.3667558,69.45,0.936366219,6.934898068,1.067958219
0.52,500.1652542,69.41,0.936120929,6.934875632,1.068238054
0.43,413.488529,69.36,0.935813676,6.93493873,1.068588786
0.3,288.3775988,69.31,0.93550571,6.934911563,1.068940563
0.39,374.7834684,69.27,0.935258824,6.934888953,1.069222738
0.39,374.6831,69.22,0.934949575,6.934951823,1.069576399
0.48,460.9829248,69.17,0.934639615,6.934924441,1.06993111
0.45,432.0159761,69.12,0.934328942,6.934896981,1.070286871
0.53,508.6810988,69.07,0.934017559,6.934959609,1.070643684
0.48,460.5586429,69.03,0.93376794,6.934936699,1.070929893
0.45,431.6172063,68.98,0.933455276,6.934909023,1.071288605
0.46,441.0881019,68.93,0.933141901,6.934971421,1.071648373
0.35,335.4639963,68.87,0.932764913,6.93493884,1.072081492
0.24,229.9483654,68.82,0.932449975,6.934910916,1.072443591
0.3,287.3560108,68.77,0.932134327,6.934973054,1.072806752
0.38,363.8505299,68.72,0.931817969,6.934944973,1.073170976
0.34,325.4305359,68.67,0.931500902,6.934916813,1.073536266
0.38,363.614905,68.62,0.931183125,6.934978704,1.073902622
0.39,373.0181505,68.56,0.930800857,6.934945546,1.074343661
0.38,363.3185678,68.51,0.93048152,6.934917136,1.07471237
0.43,411.0075623,68.46,0.930161475,6.934978763,1.075082152
0.45,429.9317817,68.4,0.929776486,6.934945305,1.075527307
0.4,382.0184468,68.35,0.929454883,6.934916642,1.075899453
0.35,334.1458708,68.29,0.929068024,6.934973081,1.076347451
0.33,314.9331537,68.24,0.928744864,6.934944243,1.07672197
0.31,295.920701,68.21,0.928550629,6.93540487,1.0769472
0.48,458.2728845,68.18,0.928356138,6.935773849,1.07717282
0.45,429.7384227,68.15,0.928161394,6.936234046,1.07739883
0.43,410.7040329,68.12,0.927966395,6.93660267,1.077625231
0.37,353.4580415,68.08,0.927706,6.937057464,1.077927705
0.43,410.8087034,68.04,0.927445153,6.937419355,1.078230876
0.43,410.8795958,68,0.927183855,6.937873688,1.078534743
0.12,114.6646315,67.95,0.926856596,6.938231579,1.078915557
0.28,267.5762086,67.9,0.926528631,6.938680425,1.079297462
0.36,344.0274711,67.85,0.926199961,6.939037887,1.079680461
0.44,420.4849041,67.79,0.925804625,6.939481186,1.080141504
0.38,363.1183664,67.73,0.925408274,6.939833147,1.080604127
0.51,487.3495294,67.67,0.925010909,6.940275887,1.081068332
0.47,449.0904264,67.61,0.924612529,6.940627364,1.081534122
0.38,363.07002,67.54,0.924146471,6.941064436,1.082079553
0.48,458.540715,67.47,0.923679033,6.941408898,1.082627151
0.56,534.9260602,67.4,0.923210217,6.941845344,1.083176921
0.48,458.3970043,67.32,0.92267274,6.942185474,1.083807895
0.38,362.8417354,67.24,0.922133464,6.942616086,1.08444172
0.51,486.8896411,67.17,0.921660123,6.942960795,1.084998662
0.52,496.3183445,67.08,0.92104952,6.943385489,1.085717954
0.48,458.0242695,67,0.920504853,6.943724354,1.086360377
0.54,515.1514352,66.91,0.919889959,6.944148272,1.087086548
0.42,400.5057762,66.81,0.919204081,6.944475869,1.087897694
0.42,400.4051461,66.72,0.918584397,6.944898961,1.088631598
0.48,457.4473268,66.63,0.917962446,6.945229718,1.089369183
0.48,457.2922358,66.53,0.917268733,6.94564662,1.090193052
0.49,466.6167725,66.43,0.916572226,6.945972601,1.091021494
0.46,437.8963122,66.33,0.915872927,6.946388591,1.091854525
0.42,399.6088853,66.22,0.915100476,6.94670826,1.092776177
0.47,446.9852722,66.11,0.914324652,6.947117802,1.093703421
0.45,427.9006526,65.97,0.913332366,6.948054173,1.094891671
0.35,332.8171169,65.84,0.912406074,6.949085396,1.096003225
0.38,361.2541482,65.69,0.91133144,6.950014376,1.097295623
0.38,361.1260334,65.53,0.910178279,6.950925834,1.098685854
0.3,285.0486058,65.38,0.909090744,6.951942878,1.100000199
0.39,370.4283301,65.22,0.90792384,6.952863306,1.101413969
0.3,284.8134523,65.05,0.906676246,6.95377706,1.102929524
0.45,427.0605692,64.88,0.90542067,6.954789162,1.104458991
0.34,322.4831082,64.7,0.90408255,6.955695025,1.106093686
0.38,360.2393213,64.52,0.902735506,6.956678292,1.107744177
0.4,378.9379916,64.33,0.901303961,6.957576032,1.109503612
0.49,463.8723548,64.14,0.899862505,6.958472605,1.111280884
0.48,454.0782186,63.94,0.898334492,6.95945144,1.113171106
0.39,368.6677164,63.75,0.896872742,6.960345579,1.114985386
0.27,254.9929978,63.54,0.895245648,6.961226536,1.117011852
0.33,311.3855196,63.33,0.893606529,6.962184107,1.119060759
0.4,377.0706041,63.12,0.891955405,6.963062323,1.121132284
0.35,329.6104983,62.91,0.890292299,6.963939218,1.123226609
0.34,319.8682011,62.69,0.88853717,6.964897499,1.125445321
0.31,291.2885415,62.46,0.886688256,6.965759127,1.127792089
0.38,356.654697,62.24,0.884906359,6.966625554,1.130063074
0.38,356.2315333,62.01,0.883029518,6.96756157,1.132464974
0.45,421.2684577,61.77,0.881055904,6.968412193,1.135001758
0.5,467.4620494,61.53,0.879066832,6.969359701,1.137569936
0.55,513.4706231,61.29,0.877062336,6.97020703,1.140169814
0.41,382.17116,61.04,0.874957955,6.971046136,1.142912061
0.29,269.9387659,60.8,0.872922077,6.971978482,1.145577625
0.38,353.1378548,60.55,0.870785085,6.972802608,1.148388985
0.53,491.6738208,60.29,0.868545027,6.973629653,1.151350786
0.48,444.5854666,60.04,0.866374259,6.974549782,1.154235586
0.48,443.7831965,59.78,0.864099162,6.975373068,1.157274586
0.55,507.7008408,59.54,0.861983279,6.976248785,1.160115311
0.5,460.8592774,59.31,0.859941365,6.977130994,1.162869982
0.52,478.5148454,59.07,0.857795899,6.978002791,1.165778481
0.55,505.2860143,58.83,0.855635381,6.978872585,1.168722124
0.58,531.8938792,58.58,0.853368879,6.979734546,1.171826188
0.56,512.6777385,58.34,0.85117775,6.980600253,1.174842739
0.48,438.6269415,58.09,0.848879445,6.981456535,1.178023577
0.6,547.2567944,57.84,0.846564978,6.982312096,1.181244236
0.38,345.9363856,57.59,0.844234393,6.983164034,1.184505166
0.34,308.9240706,57.34,0.841887736,6.984013786,1.187806827
0.3,272.0459638,57.09,0.83952505,6.984862805,1.191149686
0.26,235.2753039,56.83,0.837050902,6.985700378,1.194670476
0.35,316.0379301,56.57,0.834559518,6.98653558,1.198236889
0.47,423.5239094,56.32,0.832147749,6.987377825,1.201709674
0.45,404.6070654,56.06,0.829622703,6.988208339,1.205367206
0.54,484.3803269,55.79,0.82698246,6.989028331,1.20921549
0.59,528.0287448,55.53,0.824422645,6.989855427,1.212970078
0.51,455.3797237,55.27,0.821845854,6.990678609,1.216773188
0.46,409.7210702,55,0.819152044,6.991490967,1.220774589
0.52,462.0041742,54.73,0.816440044,6.992302194,1.224829683
0.52,460.8310322,54.46,0.813709913,6.993109268,1.228939189
0.46,406.6083533,54.19,0.810961712,6.993913671,1.233103838
0.54,476.0769394,53.92,0.808195503,6.994716908,1.23732438
0.47,413.2658939,53.65,0.805411346,6.995515924,1.24160158
0.5,438.4032358,53.37,0.802505183,6.996303263,1.246097872
0.4,349.7678727,53.1,0.799684658,6.997098251,1.250492915
